,Kingdom,Phylum,Class,Order,Family,Genus,Species,COMMENT.on.genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont,Decay_type,Fruitbody_type,OTU_ID
OTU380,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU380
OTU381,Fungi,Rozellomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU381
OTU382,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/tomentella-thelephora,,,,corticioid,OTU382
OTU383,Fungi,Basidiomycota,Agaricomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU383
OTU384,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU384
OTU386,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU386
OTU387,Fungi,Basidiomycota,Agaricomycetes,Atheliales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU387
OTU388,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU388
OTU389,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,,,soil_saprotroph,epiphyte,,,,soil,,partly_aquatic,,,yeast,none,none,,,,,,none,OTU389
OTU390,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Aphroditeola,Aphroditeola olida,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU390
OTU393,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella angusta,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU393
OTU394,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU394
OTU395,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU395
OTU398,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Cephalotrichum,,,soil_saprotroph,,,,,soil,,partly_aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU398
OTU399,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,,,soil_saprotroph,,extremophile,,,soil,,non-aquatic,,,yeast,,,,,,,,,OTU399
OTU400,Fungi,Ascomycota,Leotiomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU400
OTU401,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capronia,,,soil_saprotroph,root_endophyte_dark_septate,"mycoparasite_some_species,animal_pathogen_some_species",root_endophyte_dark_septate,,soil,,partly_aquatic,animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,,OTU401
OTU402,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Phaeotremellaceae,Phaeotremella,,,mycoparasite,fungal_decomposer,,,,fungal_material,,non-aquatic,,,dimorphic_yeast,tremelloid,,,,,,,tremelloid,OTU402
OTU403,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU403
OTU404,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/tomentella-thelephora,,,,corticioid,OTU404
OTU407,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",mold,non-aquatic,,,filamentous_mycelium,none,none,,,,,mold,none,OTU407
OTU408,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Alatospora,,,litter_saprotroph,,,,,leaf/fruit/seed,,partly_freshwater_(partly_non-aquatic),,,filamentous_mycelium,none,none,,,,,,none,OTU408
OTU409,Fungi,Ascomycota,Leotiomycetes,Helotiales,,Xenochalara,,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,,,,,,,,,OTU409
OTU410,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Melanomma,,,wood_saprotroph,,,,,wood,,partly_freshwater_(partly_non-aquatic),,,filamentous_mycelium,,,,,,,,,OTU410
OTU412,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Meliniomyces,,,root_endophyte,soil_saprotroph,ectomycorrhizal_M._bicolor/ericoid_mycorrhizal_M._variabilis,root_endophyte,,soil,,non-aquatic,,,filamentous_mycelium,None,none,short-distance_delicate,/meliniomyces,,,,None,OTU412
OTU413,Fungi,Calcarisporiellomycota,Calcarisporiellomycetes,Calcarisporiellales,Calcarisporiellaceae,Calcarisporiella,,,soil_saprotroph,,extremophile_thermophile,,,soil,,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU413
OTU414,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU414
OTU416,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU416
OTU417,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU417
OTU420,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU420
OTU422,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/tomentella-thelephora,,,,corticioid,OTU422
OTU424,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU424
OTU426,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,Wilcoxina mikolae,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,short-distance_coarse,/wilcoxina,,,,apothecium_(hymenium_on_surface),OTU426
OTU427,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU427
OTU428,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Sarcosphaera,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,short-distance_delicate,/sarcosphaera-hydnotryopsis,,,,apothecium_(hymenium_on_surface),OTU428
OTU429,Fungi,Basidiomycota,Agaricomycetes,Tremellodendropsidales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU429
OTU430,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU430
OTU431,Fungi,Kickxellomycota,Kickxellomycetes,Kickxellales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU431
OTU432,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcosomataceae,Plectania,Plectania milleri,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,,,apothecium_(hymenium_on_surface),OTU432
OTU434,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU434
OTU435,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Xeromphalina,Xeromphalina cauticinalis,,wood_saprotroph,,,,,wood,white_rot,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,white_rot,agaricoid,OTU435
OTU437,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Geopora,Geopora tolucana,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,short-distance_coarse,/geopora,,,,apothecium_(hymenium_on_surface),OTU437
OTU438,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU438
OTU439,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,,,unspecified_saprotroph,foliar_endophyte,hypervariable,foliar_endophyte,,"leaf/fruit/seed,soil,dung,animal_material",,partly_aquatic,animal-associated/opportunistic_human_parasite,,yeast,,,,,,,,,OTU439
OTU443,Fungi,Ascomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU443
OTU447,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella lignicola,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU447
OTU448,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,Umbelopsis autotrophica,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",mold,non-aquatic,,,filamentous_mycelium,none,none,,,,,mold,none,OTU448
OTU450,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Tausonia,Tausonia pullulans,,soil_saprotroph,,,,,soil,,partly_aquatic,,,yeast,none,none,,,,,,none,OTU450
OTU452,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU452
OTU454,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,Kurtzmanomyces,,,unspecified_saprotroph,,,,,,,,,,dimorphic_yeast,,,,,,,,,OTU454
OTU455,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU455
OTU456,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium,,,soil_saprotroph,,extremophile_xerophile_and_heat_resistant,,,soil,,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU456
OTU457,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU457
OTU458,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU458
OTU459,Fungi,Basidiomycota,Agaricomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU459
OTU460,Fungi,Ascomycota,Sordariomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU460
OTU463,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,Mycena rebaudengoi,,litter_saprotroph,root-associated,wood_saprotroph_many_species,root-associated,leaf/fruit/seed_pathogen,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU463
OTU465,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Leucosporidium creatinivorum,,soil_saprotroph,,,,,soil,,partly_aquatic,,,yeast,none,none,,,,,,none,OTU465
OTU466,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,Naganishia randhawae,,unspecified_saprotroph,,extremophile,,,,,partly_aquatic,,,yeast,none,none,,,,,,none,OTU466
OTU467,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU467
OTU468,Fungi,Ascomycota,Eurotiomycetes,Sclerococcales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU468
OTU470,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius cupreorufus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/cortinarius,,,,agaricoid,OTU470
OTU471,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria bassiana,,animal_parasite,animal_decomposer,,foliar_endophyte,,animal_material,,partly_aquatic,invertebrate_parasite,,filamentous_mycelium,,,,,,,,,OTU471
OTU472,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU472
OTU473,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Neonectria,Neonectria candida,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)",OTU473
OTU476,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,,,unspecified_saprotroph,,extremophile,,,,,partly_aquatic,,,yeast,none,none,,,,,,none,OTU476
OTU478,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU478
OTU479,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala xenobiotica,,animal_parasite,litter_saprotroph,,root_endophyte_dark_septate,root-associated,"leaf/fruit/seed,animal_material",,partly_aquatic,animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,,OTU479
OTU480,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Niessliaceae,Niesslia,,,litter_saprotroph,dung_saprotroph,hypervariable,,,"wood,leaf/fruit/seed,soil,dung",,,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,,,"perithecium_(hymenium_hidden,_narrow_opening)",OTU480
OTU482,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU482
OTU483,Fungi,Chytridiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU483
OTU484,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU484
OTU486,Fungi,Basidiomycota,Microbotryomycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU486
OTU487,Fungi,Kickxellomycota,Kickxellomycetes,Kickxellales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU487
OTU488,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita pantherina,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,contact,/amanita,,,,agaricoid,OTU488
OTU489,Fungi,Rozellomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU489
OTU490,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",chitinolytic,partly_aquatic,opportunistic_human_parasite,,filamentous_mycelium,none,none,,,,,chitinolytic,none,OTU490
OTU492,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU492
OTU495,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,Oliveonia,,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,,,,,,corticioid,OTU495
OTU496,Fungi,Ascomycota,Leotiomycetes,Helotiales,,Leptodontidium,,,litter_saprotroph,ericoid_mycorrhizal,,root_endophyte_dark_septate,,leaf/fruit/seed,,partly_aquatic,,,filamentous_mycelium,None,none,,,,,,None,OTU496
OTU497,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU497
OTU498,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/cortinarius,,,,agaricoid,OTU498
OTU499,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Leptobacillium,Leptobacillium leptobactrum,,animal_parasite,fungal_decomposer,,,,"animal_material,fungal_material",keratinolytic,,invertebrate_parasite,,filamentous_mycelium,,,,,,,keratinolytic,,OTU499
OTU501,Fungi,Ascomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU501
OTU502,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Cleistocybe,,,soil_saprotroph,,,,,soil,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU502
OTU503,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU503
OTU505,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU505
OTU506,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudeurotium,,,dung_saprotroph,soil_saprotroph,,,,"soil,dung",,partly_aquatic,,,filamentous_mycelium,"cleistothecium_(closed,_spherical)",closed,,,,,,"cleistothecium_(closed,_spherical)",OTU506
OTU508,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU508
OTU510,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU510
OTU511,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,Rhizopogon ellenae,,ectomycorrhizal,,,,,,,non-aquatic,,Pinaceae,filamentous_mycelium,gasteroid,closed,long-distance,/suillus-rhizopogon,,,,gasteroid,OTU511
OTU512,Fungi,Ascomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU512
OTU513,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Cystofilobasidium,Cystofilobasidium macerans,,litter_saprotroph,,,,,leaf/fruit/seed,,partly_aquatic,,,yeast,none,none,,,,,,none,OTU513
OTU515,Fungi,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,Sedecula,Sedecula pulvinata,,unspecified_saprotroph,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,,,,,,gasteroid-hypogeous,OTU515
OTU517,Fungi,Ascomycota,Leotiomycetes,Thelebolales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU517
OTU518,Fungi,Ascomycota,Leotiomycetes,Helotiales,,Xenopolyscytalum,Xenopolyscytalum pinea,,litter_saprotroph,foliar_endophyte,,foliar_endophyte,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,,,,,,,,,OTU518
OTU519,Fungi,Blastocladiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU519
OTU521,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,,,unspecified_saprotroph,foliar_endophyte,hypervariable,foliar_endophyte,,"leaf/fruit/seed,soil,dung,animal_material",,partly_aquatic,animal-associated/opportunistic_human_parasite,,yeast,,,,,,,,,OTU521
OTU522,Fungi,Basidiomycota,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU522
OTU523,Fungi,Ascomycota,Lecanoromycetes,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU523
OTU524,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,,,soil_saprotroph,root-associated,,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,none,none,,,,,,none,OTU524
OTU525,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU525
OTU526,Fungi,Basidiomycota,Agaricomycetes,Boletales,Melanogastraceae,Alpova,Alpova trappei,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,gasteroid-hypogeous,closed,long-distance,/paxillus-gyrodon,,,,gasteroid-hypogeous,OTU526
OTU527,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Kurtzmaniella,,,nectar/tap_saprotroph,,,,,sugar-rich_substrates,,non-aquatic,arthropod-associated,,yeast,none,none,,,,,,none,OTU527
OTU528,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora chaetospira,,soil_saprotroph,root_endophyte_dark_septate,"mycoparasite_some_species,animal_pathogen_some_species",root_endophyte_dark_septate,,soil,,non-aquatic,animal_parasite/opportunistic_human_parasite,,dimorphic_yeast,,,,,,,,,OTU528
OTU529,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,Mycena pura,,litter_saprotroph,root-associated,wood_saprotroph_many_species,root-associated,leaf/fruit/seed_pathogen,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,,,,,,agaricoid,OTU529
OTU530,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius psammocola,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/cortinarius,,,,agaricoid,OTU530
OTU531,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU531
OTU533,Fungi,Ascomycota,Arthoniomycetes,Lichenostigmatales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU533
OTU535,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU535
OTU536,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,clavarioid,smooth,medium-distance_smooth,/tomentella-thelephora,,,,clavarioid,OTU536
OTU537,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,,,soil_saprotroph,unspecified_symbiotroph,CHEGD_symbiotrophs,root-associated,root-associated,"roots,soil",,non-aquatic,,,filamentous_mycelium,clavarioid,smooth,,,,,,clavarioid,OTU537
OTU539,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU539
OTU540,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU540
OTU541,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius infractus,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,agaricoid,gills,medium-distance_fringe,/cortinarius,,,,agaricoid,OTU541
OTU542,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU542
OTU544,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,,,ectomycorrhizal,,,,,,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,medium-distance_smooth,/tomentella-thelephora,,,,corticioid,OTU544
OTU546,Fungi,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OTU546
